id,name,code,icon,is_active,created_at,updated_at
1bd394b5-324e-4e81-9c6b-758bc33e9f97,Carte Bancaire,CARD,credit-card,true,2025-07-29 23:26:45.816315+00,2025-07-29 23:26:45.816315+00
2762b7ce-6089-49d7-bce9-e9520ecd28fe,Virement Bancaire,BANK_TRANSFER,bank,true,2025-07-29 23:26:45.816315+00,2025-07-29 23:26:45.816315+00
6ce2fc19-697e-4e04-bd4b-314650a01903,Espèces,CASH,cash,true,2025-07-29 23:26:45.816315+00,2025-07-29 23:26:45.816315+00
eb2c072e-8ad0-4a73-998a-2b52a848ccbd,Chèque,CHECK,file-text,true,2025-07-29 23:26:45.816315+00,2025-07-29 23:26:45.816315+00
f17e3908-039c-4eaa-8769-6c94abecb997,Mobile Money,MOBILE_MONEY,smartphone,true,2025-07-29 23:26:45.816315+00,2025-07-29 23:26:45.816315+00
